timestamp,id_medicion,temperatura_C,humedad_relativa_pct,CO2_ppm,PM1_ug_m3,PM2_5_ug_m3,PM4_ug_m3,PM10_ug_m3,latitude,longitude,elevation,status
2026-01-27T14:58:34+00:00,2294,19.43111,69.32501,539.0,1.352624,1.99737,2.484889,2.71304,,,,
2026-01-27T14:58:56+00:00,2295,19.43111,69.35553,538.0,1.520742,2.263571,2.827115,3.090845,,,,
2026-01-27T14:59:19+00:00,2296,19.43111,69.40894,539.0,1.262116,1.859397,2.310578,2.521723,,,,
2026-01-27T14:59:41+00:00,2297,19.42038,69.37842,537.0,1.176835,1.701572,2.094594,2.278521,,,,
2026-01-27T15:00:04+00:00,2298,19.42038,69.30212,537.0,1.100801,1.584753,1.946464,2.115739,,,,
2026-01-27T15:00:26+00:00,2299,19.42038,68.86725,538.0,1.359683,1.983486,2.452651,2.672212,,,,
2026-01-27T15:00:49+00:00,2300,19.42038,69.13428,532.0,1.387298,2.025918,2.506457,2.731341,,,,
2026-01-27T15:01:11+00:00,2301,19.40965,69.24109,533.0,1.178849,1.711218,2.110703,2.297654,,,,
2026-01-27T15:01:34+00:00,2302,19.40965,69.2182,532.0,1.255198,1.82029,2.244137,2.44249,,,,
2026-01-27T15:01:56+00:00,2303,19.40965,69.18768,531.0,1.223626,1.779078,2.196196,2.3914,,,,
2026-01-27T15:02:19+00:00,2304,19.40965,69.13428,530.0,1.175672,1.69689,2.086944,2.269483,,,,
2026-01-27T15:02:41+00:00,2305,19.40965,69.13428,522.0,1.077524,1.548563,1.900321,2.064938,,,,
2026-01-27T15:03:03+00:00,2306,19.39893,69.13428,520.0,1.511346,2.170239,2.66208,2.892253,,,,
2026-01-27T15:03:26+00:00,2307,19.39893,69.11139,520.0,1.095449,1.56296,1.9108,2.073583,,,,
2026-01-27T15:03:48+00:00,2308,19.39893,69.08087,519.0,1.063712,1.511423,1.843808,1.999359,,,,
2026-01-27T15:04:11+00:00,2309,19.39893,69.05798,521.0,1.016725,1.444582,1.762216,1.910864,,,,
2026-01-27T15:04:33+00:00,2310,19.39893,69.05798,523.0,1.405527,1.998227,2.438384,2.64437,,,,
2026-01-27T15:04:56+00:00,2311,19.39893,69.18768,522.0,1.524335,2.161028,2.63314,2.85408,,,,
2026-01-27T15:05:18+00:00,2312,19.38821,69.24109,524.0,0.9555408,1.350365,1.642622,1.779394,,,,
2026-01-27T15:05:40+00:00,2313,19.38821,69.30212,528.0,1.146802,1.618208,1.96686,2.130023,,,,
2026-01-27T15:06:03+00:00,2314,19.38821,69.13428,523.0,1.287492,1.803111,2.182825,2.360525,,,,
